Source,Target,Type,Id,Label,timeset,Weight,based_on_page
86,696,Undirected,232,,,2,XXV:59r
86,954,Undirected,233,,,2,XXV:55r
425,696,Undirected,234,,,1,XXV:59v
696,954,Undirected,236,,,1,XXV:59v
86,488,Undirected,238,,,1,XXV:59r
86,1487,Undirected,240,,,2,XXV:58r
488,696,Undirected,241,,,1,XXV:59r
488,1487,Undirected,242,,,1,XXV:59r
696,1487,Undirected,243,,,1,XXV:59r
71,513,Undirected,244,,,4,XXV:184r
71,872,Undirected,245,,,2,XXV:184r
71,1248,Undirected,246,,,2,XXV:183r
71,1314,Undirected,247,,,3,XXV:184r
513,872,Undirected,248,,,2,XXV:184r
513,1248,Undirected,249,,,2,XXV:183r
513,1314,Undirected,250,,,3,XXV:184r
872,1248,Undirected,251,,,1,XXV:183v
872,1314,Undirected,252,,,2,XXV:184r
1248,1314,Undirected,253,,,1,XXV:183v
99,172,Undirected,254,,,1,XXV:313r
99,219,Undirected,255,,,3,XXV:312v
99,485,Undirected,256,,,2,XXV:312v
99,618,Undirected,257,,,1,XXV:313r
99,683,Undirected,258,,,5,XXV:316v
99,992,Undirected,259,,,1,XXV:313r
99,1114,Undirected,260,,,3,XXV:316v
99,1494,Undirected,261,,,3,XXV:312v
172,219,Undirected,262,,,2,XXV:134v
172,485,Undirected,263,,,2,XXVI:55r
172,618,Undirected,264,,,1,XXV:313r
172,683,Undirected,265,,,2,XXVI:55r
172,992,Undirected,266,,,1,XXV:313r
172,1114,Undirected,267,,,1,XXV:313r
172,1494,Undirected,268,,,3,XXVI:55r
219,485,Undirected,269,,,3,XXV:312v
219,618,Undirected,270,,,3,XXV:131v
219,683,Undirected,271,,,4,XXV:135r
219,992,Undirected,272,,,6,XXVI:69v
219,1114,Undirected,273,,,1,XXV:313r
219,1494,Undirected,274,,,12,XXV:132r
485,618,Undirected,275,,,1,XXV:313r
485,683,Undirected,276,,,2,XXVI:55r
485,992,Undirected,277,,,2,XXV:317v
485,1114,Undirected,278,,,1,XXV:313r
485,1494,Undirected,279,,,4,XXVI:55r
618,683,Undirected,280,,,3,XXV:315r
618,992,Undirected,281,,,2,XXVI:70v
618,1114,Undirected,282,,,3,XXV:315r
618,1494,Undirected,283,,,7,XXV:141v
683,992,Undirected,284,,,1,XXV:313r
683,1114,Undirected,285,,,7,XXV:326v
683,1494,Undirected,286,,,6,XXVI:55r
992,1114,Undirected,287,,,1,XXV:313r
992,1494,Undirected,288,,,6,XXVI:72r
1114,1494,Undirected,289,,,2,XXV:311r
19,71,Undirected,290,,,3,XXV:184v
19,513,Undirected,291,,,1,XXV:183r
19,1248,Undirected,292,,,1,XXV:183r
99,169,Undirected,296,,,1,XXV:313v
99,321,Undirected,297,,,2,XXV:324v
99,451,Undirected,298,,,1,XXV:313v
99,689,Undirected,299,,,1,XXV:313v
99,855,Undirected,300,,,1,XXV:313v
169,321,Undirected,301,,,1,XXV:313v
169,451,Undirected,302,,,2,XXV:314r
169,689,Undirected,303,,,2,XXV:314r
169,855,Undirected,304,,,1,XXV:313v
321,451,Undirected,305,,,1,XXV:313v
321,689,Undirected,306,,,1,XXV:313v
321,855,Undirected,307,,,1,XXV:313v
451,689,Undirected,308,,,2,XXV:314r
451,855,Undirected,309,,,1,XXV:313v
689,855,Undirected,310,,,1,XXV:313v
144,290,Undirected,311,,,1,XXV:75v
144,974,Undirected,312,,,1,XXV:75v
144,1159,Undirected,313,,,1,XXV:75v
144,1256,Undirected,314,,,1,XXV:75v
144,1758,Undirected,315,,,1,XXV:75v
290,974,Undirected,316,,,11,XXV:80r
290,1159,Undirected,317,,,1,XXV:75v
290,1256,Undirected,318,,,32,XXV:106r
290,1758,Undirected,319,,,5,XXV:106r
974,1159,Undirected,320,,,1,XXV:75v
974,1256,Undirected,321,,,7,XXV:123v
974,1758,Undirected,322,,,2,XXV:73v
1159,1256,Undirected,323,,,1,XXV:75v
1159,1758,Undirected,324,,,1,XXV:75v
1256,1758,Undirected,325,,,9,XXV:106r
346,552,Undirected,326,,,1,XXV:303r
346,584,Undirected,327,,,2,XXVI:41r
346,905,Undirected,328,,,1,XXV:303r
346,1029,Undirected,329,,,2,XXV:144v
346,1034,Undirected,330,,,1,XXV:303r
346,1164,Undirected,331,,,1,XXV:303r
346,1212,Undirected,332,,,2,XXV:144v
346,1217,Undirected,333,,,1,XXV:303r
346,1343,Undirected,334,,,3,XXV:144v
346,1586,Undirected,335,,,1,XXV:303r
346,1588,Undirected,336,,,1,XXV:303r
346,1669,Undirected,337,,,1,XXV:303r
552,584,Undirected,338,,,1,XXV:303r
552,905,Undirected,339,,,1,XXV:303r
